driver,spec,month,kind,n_files,n_lines,delta_files,delta_lines,commit
RUBY,gridfs,2018-08,intro,4,586,4,586,1f07982c
RUBY,retryable-writes,2018-08,intro,18,1947,18,1947,1f07982c
RUBY,transactions,2018-08,intro,21,8594,21,8594,1f07982c
RUBY,uri-options,2018-12,intro,7,372,7,372,eebe3364
RUBY,connection-monitoring-and-pooling,2019-03,intro,19,549,19,549,f445b789
RUBY,retryable-reads,2019-04,intro,41,4402,41,4402,0fab9231
RUBY,auth,2019-09,intro,1,297,1,297,1452b587
RUBY,read-write-concern,2019-10,intro,2,137,2,137,1a8a5197
RUBY,client-side-encryption,2020-03,intro,29,3077,29,3077,83ea69f7
RUBY,client-side-encryption,2022-06,phase,60,7758,27,3510,01f4fdcb
RUBY,client-side-encryption,2023-02,phase,104,28742,43,20931,b92b7f40
RUBY,unified-test-format,2020-12,intro,10,1853,10,1853,a72ce6d3
RUBY,versioned-api,2021-03,intro,6,1163,6,1163,77df4500
RUBY,load-balancers,2021-06,intro,4,241,4,241,f6822318
RUBY,load-balancers,2025-01,phase,8,1727,4,1486,5960f5f6
RUBY,collection-management,2021-07,intro,1,129,1,129,6034662e
RUBY,index-management,2023-09,intro,5,314,5,314,7fd9ad4e
RUBY,client-side-operations-timeout,2024-08,intro,25,18947,25,18947,2d8a249b
RUBY,open-telemetry,2025-12,intro,22,2092,22,2092,5e64c1dd
RUBY,client-backpressure,2026-03,intro,4,4396,4,4396,e5fb27c9
RUST,connection-monitoring-and-pooling,2019-08,intro,38,1592,38,1592,6afc4136
RUST,max-staleness,2019-08,intro,70,3463,70,3463,6afc4136
RUST,server-discovery-and-monitoring,2019-08,intro,154,10564,154,10564,6afc4136
RUST,server-discovery-and-monitoring,2021-03,phase,348,27141,160,14892,8fd04d26
RUST,server-selection,2019-08,intro,96,2949,96,2949,6afc4136
RUST,server-selection,2023-01,phase,142,6550,10,2441,fa952f46
RUST,connection-string,2019-10,intro,16,2687,16,2687,3aa1cbb5
RUST,uri-options,2019-10,intro,16,1144,16,1144,3aa1cbb5
RUST,uri-options,2025-07,phase,22,2882,2,1110,c95787fb
RUST,auth,2019-11,intro,2,671,2,671,104ecd63
RUST,crud,2019-11,intro,88,9974,88,9974,104ecd63
RUST,crud,2021-03,phase,174,18491,86,8517,8fd04d26
RUST,crud,2021-07,phase,202,31183,28,12692,295f3be0
RUST,read-write-concern,2019-11,intro,4,376,4,376,104ecd63
RUST,read-write-concern,2021-05,phase,12,1748,8,1372,6cb18e19
RUST,command-monitoring,2019-12,intro,20,2451,20,2451,4ba2cfe9
RUST,initial-dns-seedlist-discovery,2019-12,intro,52,496,52,496,4ba2cfe9
RUST,retryable-reads,2020-05,intro,84,22584,84,22584,4edd2668
RUST,retryable-writes,2020-07,intro,58,8663,58,8663,b025aaa4
RUST,retryable-writes,2024-05,phase,66,18086,0,7231,243d1542
RUST,versioned-api,2020-12,intro,6,2503,6,2503,6067e98f
RUST,versioned-api,2021-04,phase,12,4166,6,1663,f9b1aa47
RUST,sessions,2021-03,intro,4,1317,4,1317,8fd04d26
RUST,sessions,2021-07,phase,12,4014,8,2697,295f3be0
RUST,transactions,2021-04,intro,64,39080,64,39080,f9b1aa47
RUST,collection-management,2021-06,intro,2,384,2,384,87397618
RUST,unified-test-format,2021-07,intro,36,3468,36,3468,295f3be0
RUST,unified-test-format,2021-09,phase,98,6127,60,1719,dd5d0a2a
RUST,unified-test-format,2023-05,phase,594,19089,477,12244,3e1c14e4
RUST,load-balancers,2021-10,intro,16,5644,16,5644,64b8e343
RUST,change-streams,2022-01,intro,2,188,2,188,724a227c
RUST,change-streams,2022-02,phase,8,10123,6,9935,bf12ff89
RUST,client-side-encryption,2022-10,intro,13,26208,13,26208,6e3d43d8
RUST,client-side-encryption,2022-11,phase,141,58218,128,32010,f9e79dbb
RUST,client-side-encryption,2023-03,phase,234,117767,93,59549,204cbb62
RUST,command-logging-and-monitoring,2022-10,intro,44,8300,44,8300,6e3d43d8
RUST,gridfs,2022-10,intro,10,3453,10,3453,6e3d43d8
RUST,gridfs,2025-04,phase,16,4229,6,1015,72084629
RUST,transactions-convenient-api,2023-04,intro,18,5691,18,5691,abad47aa
RUST,run-command,2023-06,intro,4,2222,4,2222,ecb51080
RUST,index-management,2023-11,intro,11,1179,11,1179,00a03ab3
RUST,open-telemetry,2025-10,intro,44,5599,44,5599,83a1544d
RUST,client-backpressure,2026-03,intro,8,13260,8,13260,24ac85d0
SWIFT,bson-corpus,2018-02,intro,31,5125,31,5125,6ac0524d
SWIFT,benchmarking,2018-03,intro,6,6,6,6,1a0afb84
SWIFT,command-monitoring,2018-03,intro,10,1649,10,1649,1a0afb84
SWIFT,crud,2018-03,intro,32,3661,32,3661,1a0afb84
SWIFT,crud,2021-01,phase,70,7039,35,2145,858b6d08
SWIFT,crud,2021-06,phase,128,18345,57,10744,59caa083
SWIFT,connection-string,2018-05,intro,2,147,2,147,b0a35df8
SWIFT,connection-string,2020-06,phase,10,1669,8,1522,2ce49dbf
SWIFT,read-write-concern,2018-05,intro,2,207,2,207,b0a35df8
SWIFT,retryable-writes,2019-05,intro,20,4186,20,4186,78db81a9
SWIFT,change-streams,2019-08,intro,2,908,2,908,5850eafc
SWIFT,change-streams,2021-03,phase,5,4445,3,3537,f876f362
SWIFT,change-streams,2022-06,phase,6,7072,1,2597,3eb642c7
SWIFT,change-streams,2022-08,phase,12,11788,6,4716,790bfa80
SWIFT,initial-dns-seedlist-discovery,2019-08,intro,26,288,26,288,5850eafc
SWIFT,auth,2019-10,intro,1,370,1,370,77a9a50c
SWIFT,retryable-reads,2019-10,intro,42,18143,42,18143,77a9a50c
SWIFT,retryable-reads,2022-06,phase,84,22656,40,3306,3eb642c7
SWIFT,transactions,2020-04,intro,32,25504,32,25504,b863152a
SWIFT,uri-options,2020-06,intro,8,1104,8,1104,2ce49dbf
SWIFT,unified-test-format,2020-10,intro,162,7678,162,7678,8c35196d
SWIFT,versioned-api,2021-03,intro,6,3004,6,3004,f876f362
SWIFT,versioned-api,2021-06,phase,12,4026,6,1022,59caa083
SWIFT,load-balancers,2021-08,intro,8,3911,8,3911,74a86f15
SWIFT,collection-management,2021-10,intro,2,384,2,384,18b95fdf
SWIFT,sessions,2021-10,intro,6,2653,6,2653,18b95fdf
SWIFT,max-staleness,2022-02,intro,64,3300,64,3300,543984db
SWIFT,server-selection,2022-02,intro,136,4167,136,4167,543984db
