month,spec,n_files,n_lines,commit
2016-12,max-staleness,35,1082,1b4159d7
2016-12,read-write-concern,4,211,1b4159d7
2016-12,server-discovery-and-monitoring,57,3719,1b4159d7
2016-12,server-selection,40,843,1b4159d7
2017-01,command-monitoring,9,802,58ff7b0e
2017-01,connection-string,7,1069,58ff7b0e
2017-01,crud,32,1588,58ff7b0e
2017-01,gridfs,4,567,58ff7b0e
2017-01,max-staleness,35,1082,58ff7b0e
2017-01,read-write-concern,4,211,58ff7b0e
2017-01,server-discovery-and-monitoring,57,3719,58ff7b0e
2017-01,server-selection,40,843,58ff7b0e
2017-02,command-monitoring,9,802,6cee58a8
2017-02,connection-string,7,1041,6cee58a8
2017-02,crud,32,1588,6cee58a8
2017-02,gridfs,4,567,6cee58a8
2017-02,max-staleness,35,1082,6cee58a8
2017-02,read-write-concern,4,211,6cee58a8
2017-02,server-discovery-and-monitoring,57,3719,6cee58a8
2017-02,server-selection,40,843,6cee58a8
2017-03,command-monitoring,9,802,91080731
2017-03,connection-string,7,1041,91080731
2017-03,crud,32,1588,91080731
2017-03,gridfs,4,567,91080731
2017-03,max-staleness,35,1082,91080731
2017-03,read-write-concern,4,211,91080731
2017-03,server-discovery-and-monitoring,57,3719,91080731
2017-03,server-selection,40,843,91080731
2017-04,command-monitoring,9,802,8bcda523
2017-04,connection-string,7,1041,8bcda523
2017-04,crud,32,1588,8bcda523
2017-04,gridfs,4,567,8bcda523
2017-04,max-staleness,35,1082,8bcda523
2017-04,read-write-concern,4,211,8bcda523
2017-04,server-discovery-and-monitoring,57,3719,8bcda523
2017-04,server-selection,40,843,8bcda523
2017-05,command-monitoring,9,802,c62403a5
2017-05,connection-string,7,1041,c62403a5
2017-05,crud,32,1588,c62403a5
2017-05,gridfs,4,567,c62403a5
2017-05,max-staleness,35,1082,c62403a5
2017-05,read-write-concern,4,211,c62403a5
2017-05,server-discovery-and-monitoring,57,3719,c62403a5
2017-05,server-selection,40,843,c62403a5
2017-06,command-monitoring,9,802,19c7a47c
2017-06,connection-string,8,1142,19c7a47c
2017-06,crud,32,1588,19c7a47c
2017-06,gridfs,4,567,19c7a47c
2017-06,max-staleness,35,1082,19c7a47c
2017-06,read-write-concern,4,211,19c7a47c
2017-06,server-discovery-and-monitoring,57,3719,19c7a47c
2017-06,server-selection,40,843,19c7a47c
2017-07,command-monitoring,9,802,1f63bb92
2017-07,connection-string,8,1142,1f63bb92
2017-07,crud,35,1829,1f63bb92
2017-07,gridfs,4,567,1f63bb92
2017-07,max-staleness,35,1082,1f63bb92
2017-07,read-write-concern,4,211,1f63bb92
2017-07,retryable-writes,8,620,1f63bb92
2017-07,server-discovery-and-monitoring,57,3719,1f63bb92
2017-07,server-selection,40,843,1f63bb92
2017-08,command-monitoring,9,802,57f28a27
2017-08,connection-string,8,1142,57f28a27
2017-08,crud,35,1829,57f28a27
2017-08,gridfs,4,567,57f28a27
2017-08,max-staleness,35,1082,57f28a27
2017-08,read-write-concern,4,211,57f28a27
2017-08,retryable-writes,8,618,57f28a27
2017-08,server-discovery-and-monitoring,69,4457,57f28a27
2017-08,server-selection,40,808,57f28a27
2017-09,command-monitoring,9,802,cb211034
2017-09,connection-string,8,1158,cb211034
2017-09,crud,36,1873,cb211034
2017-09,gridfs,4,567,cb211034
2017-09,initial-dns-seedlist-discovery,4,26,cb211034
2017-09,max-staleness,35,1082,cb211034
2017-09,read-write-concern,4,211,cb211034
2017-09,retryable-writes,8,632,cb211034
2017-09,server-discovery-and-monitoring,69,4429,cb211034
2017-09,server-selection,40,808,cb211034
2017-10,command-monitoring,9,802,56dd565f
2017-10,connection-string,8,1150,56dd565f
2017-10,crud,32,1539,56dd565f
2017-10,gridfs,4,567,56dd565f
2017-10,initial-dns-seedlist-discovery,7,59,56dd565f
2017-10,max-staleness,35,1082,56dd565f
2017-10,read-write-concern,4,211,56dd565f
2017-10,retryable-writes,9,818,56dd565f
2017-10,server-discovery-and-monitoring,69,4429,56dd565f
2017-10,server-selection,40,808,56dd565f
2017-11,command-monitoring,9,802,da2bfbae
2017-11,connection-string,8,1150,da2bfbae
2017-11,crud,32,1539,da2bfbae
2017-11,gridfs,4,567,da2bfbae
2017-11,initial-dns-seedlist-discovery,23,161,da2bfbae
2017-11,max-staleness,35,1082,da2bfbae
2017-11,read-write-concern,4,211,da2bfbae
2017-11,retryable-writes,9,824,da2bfbae
2017-11,server-discovery-and-monitoring,69,4588,da2bfbae
2017-11,server-selection,40,808,da2bfbae
